feature,importance
color_std_v,0.0633111674298578
color_std_r,0.05718770861753536
color_std_h,0.053255695216516956
pigmentation_red_blue_ratio,0.053000378423398685
color_mean_b,0.049172768621089755
grayscale_std,0.049092129212503006
color_mean_h,0.047829890077058276
color_std_g,0.047126929394894886
gradient_mean,0.04304047913838151
local_variance_mean,0.041905100389553154
pigmentation_red_green_ratio,0.04158426957811799
color_std_s,0.04004361582175944
color_std_b,0.03988485150497544
pigmentation_chroma_proxy,0.038891049050456795
gradient_std,0.038296637884128286
color_median_b,0.03615468021699511
color_mean_s,0.03555298044809121
grayscale_mean,0.0342047251843227
pigmentation_darkness_proxy,0.033303255096295455
color_mean_g,0.03279662231442076
color_mean_v,0.032454304757021
color_median_r,0.030919003733054864
color_median_g,0.030745519507099653
color_mean_r,0.030246238382471972
