model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
SVM,0.460431654676259,0.4811744209879073,0.45414669122214135,0.4811744209879073,0.463547597912923
Logistic Regression,0.43884892086330934,0.45174216027874564,0.4194734249905183,0.45174216027874564,0.43111266345833327
Random Forest,0.4856115107913669,0.4044322607091617,0.5017636277843054,0.4044322607091617,0.41172360366733773
XGBoost,0.4568345323741007,0.37915214866434377,0.4550544737125619,0.37915214866434377,0.38213756501281276
